,Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
26,True,GB-2313,SystemIntegrationUser,True,False,Script failed to execute
33,True,GB-2313_4,BillingStatementUser,True,False,Script not Executed
9,True,GB-2314,BillingStatementUser,True,False,Script failed to execute
28,True,GB-2314_1,BillingStatementUser,True,False,Script not Executed
14,True,GB-2321,BillingStatementUser,True,False,System.QueryException: List has no rows for assignment to SObject
13,True,GB-2329,BillingStatementUser,True,False,System.QueryException: List has no rows for assignment to SObject
8,True,GB-2330_1,SystemIntegrationUser,True,False,Script failed to execute
25,True,GB-2330_2,SystemIntegrationUser,True,False,Script not Executed
10,True,GB-2330_3,SystemIntegrationUser,True,False,Script not Executed
4,True,GB-2331,SystemIntegrationUser,True,False,Script not Executed
20,True,GB-2333,SystemIntegrationUser,True,False,Script not Executed
19,True,GB-2335,SystemIntegrationUser,True,False,Script not Executed
7,True,GB-2336,SystemIntegrationUser,True,False,Script not Executed
23,True,GB-2337,SystemIntegrationUser,True,False,Script not Executed
17,True,GB-2338,SystemIntegrationUser,True,False,Script not Executed
16,True,GB-2339,SystemIntegrationUser,True,False,Script not Executed
31,True,GB-2340,SystemIntegrationUser,True,False,Script not Executed
2,True,GB-2341,SystemIntegrationUser,True,False,Script not Executed
11,True,GB-2342,SystemIntegrationUser,True,False,Script not Executed
